email_id,subject,sender,body,label,word_count,char_count,url_count,has_suspicious_words
safe_441,Project Update,support@legit.com,"Weekly status report is ready for review.

Best regards,
Emily Davis
Manager",Safe,12,76,0,False
phish_390,URGENT,admin@amazon.com,IRS Notice: Tax refund pending. Click: http://update-5001.ga/login ACCOUNT!!! Congratulations  ACT NOW! 24 hours,Phishing,13,112,1,True
phish_7,Important,admin@amazon.com,Congratulations! You won a prize. Claim now: http://vaj.secure-7639.tk/login SECURITY!!! ALERT!!! Update ,Phishing,11,105,1,True
phish_197,URGENT,noreply@irs.gov,"Dear customer, we noticed unusual activity. Please update your info: http://gex.verify-3194.ml/login PRIZE!!! Urgent  Bank  ALERT!!! EXCLUSIVE!!!",Phishing,16,145,1,True
safe_13,Newsletter,manager@office.com,"New comment on your document: Approved

Reference: project-382",Safe,8,62,0,False
safe_234,Project Update,john@company.com,"Meeting scheduled for tomorrow at 3 PM. Please confirm your attendance.

Best regards,
John Doe
Team Lead",Safe,17,105,0,False
safe_216,Newsletter,team@work.com,Team meeting notes from today's discussion.,Safe,6,43,0,False
safe_497,Order Confirmation,manager@office.com,"Weekly status report is ready for review.

Best regards,
John Doe
Manager",Safe,12,73,0,False
phish_462,Action Required,service@apple.com,Your Apple ID has been locked. Unlock: http://yvn.verify-6794.tk/login FREE!!! PAYMENT!!! Suspended  UPDATE!!! REFUND!!! ACT NOW! immediately,Phishing,16,141,1,True
safe_289,Project Update,team@work.com,"Team meeting notes from today's discussion.

Reference: profile-735",Safe,8,67,0,False
safe_38,Project Update,info@business.com,"Your password was successfully changed. If this wasn't you, contact support.

Best regards,
Emily Davis
Team Lead",Safe,17,113,0,False
safe_294,Welcome,team@work.com,"Team meeting notes from today's discussion.

Best regards,
John Doe
Manager",Safe,11,75,0,False
safe_327,Welcome,team@work.com,"New comment on your document: Approved

Reference: project-433",Safe,8,62,0,False
safe_365,Invoice,support@legit.com,"Weekly status report is ready for review.

Reference: review-593",Safe,9,64,0,False
safe_136,Newsletter,noreply@service.com,"Hi, Here's the report you requested. Let me know if you need changes.",Safe,13,69,0,False
phish_234,Notice,security@bank.com,Congratulations! You won a prize. Claim now: http://update-6193.top/login Payment  Update  Verify  ALERT!!! Account  ACT NOW! immediately,Phishing,16,137,1,True
safe_388,Order Confirmation,john@company.com,"Your account balance is $6604

Best regards,
Sarah Smith
Team Lead",Safe,11,66,0,False
safe_247,Meeting Invitation,support@legit.com,"Weekly status report is ready for review.

Best regards,
John Doe
Manager",Safe,12,73,0,False
phish_480,URGENT,service@apple.com,Security Alert: Your password needs reset. Visit: http://sbq.account-5437.ga/login Verify  Payment  ACCOUNT!!! Prize  Free  ACT NOW! 48 hours,Phishing,17,141,1,True
phish_442,Important,support@paypal.com,Your payment failed. Please update payment method: http://hcu.update-1639.top/login Free  Suspended  ACT NOW! 48 hours,Phishing,14,118,1,True
phish_199,Security Alert,service@apple.com,FedEx: Package delivery failed. Track: http://bank-9256.top/login Prize  LIMITED TIME!!! ACCOUNT!!! Urgent  PASSWORD!!! ACT NOW! 48 hours,Phishing,16,137,1,True
safe_467,Newsletter,manager@office.com,"Hi, Here's the report you requested. Let me know if you need changes.",Safe,13,69,0,False
